Episode,Cumulative Cost
2,2
3,1
4,1
5,1
6,2
7,1
8,1
9,1
10,2
11,1
12,1
13,1
14,2
15,1
16,2
17,2
18,3
19,2
20,1
21,2
22,1
23,1
24,1
25,2
26,1
27,2
28,1
29,1
30,1
31,1
32,2
33,1
34,2
35,2
36,1
37,1
38,1
39,1
40,1
41,2
42,2
43,1
44,2
45,1
46,2
47,1
48,1
49,2
50,1
51,6
52,1
53,1
54,1
55,2
56,1
57,1
58,2
59,2
60,3
61,1
62,2
63,1
64,1
65,1
66,1
67,2
68,1
69,2
70,1
71,1
72,2
73,2
74,1
75,1
76,1
77,1
78,2
79,2
80,1
81,1
82,1
83,2
84,2
85,1
86,3
87,1
88,3
89,2
90,2
91,2
92,1
93,1
94,2
95,2
96,2
97,2
98,3
99,2
100,1
101,2
102,1
103,2
104,2
105,2
106,2
107,2
108,1
109,1
110,4
111,2
112,1
113,1
114,3
115,6
116,2
117,2
118,2
119,2
120,2
121,1
122,2
123,2
124,3
125,2
126,1
127,2
128,2
129,2
130,1
131,2
132,3
133,0
134,3
135,5
136,2
137,1
138,2
139,8
140,2
141,4
142,2
143,0
144,2
145,4
146,1
147,2
148,4
149,2
150,2
151,0
152,4
153,3
154,0
155,2
156,0
157,0
158,8
159,0
160,0
161,0
162,0
163,0
164,7
165,0
166,4
167,0
168,0
169,0
170,0
171,4
172,2
173,2
174,5
175,2
176,0
177,0
178,0
179,2
180,10
181,6
182,3
183,0
184,2
185,0
186,0
187,0
188,2
189,2
190,1
191,2
192,2
193,4
194,0
195,5
196,5
197,4
198,1
199,2
200,3
201,4
202,2
203,4
204,2
205,6
206,5
207,2
208,2
209,2
210,1
211,0
212,2
213,4
214,2
215,3
216,0
217,3
218,2
219,3
220,0
221,5
222,1
223,5
224,6
225,5
226,2
227,4
228,7
229,6
230,6
231,0
232,3
233,1
234,0
235,2
236,3
237,3
238,0
239,3
240,4
241,0
242,2
243,0
244,4
245,4
246,7
247,0
248,8
249,0
250,0
251,4
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,2
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,2
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,2
283,0
284,1
285,0
286,0
287,0
288,1
289,4
290,2
291,1
292,2
293,4
294,4
295,4
296,3
297,2
298,4
299,4
300,4
301,4
302,0
303,2
304,4
305,4
306,4
307,0
308,4
309,2
310,0
311,0
312,0
313,3
314,3
315,0
316,0
317,0
318,2
319,4
320,5
321,7
322,2
323,0
324,0
325,0
326,4
327,5
328,5
329,5
330,0
331,3
332,0
333,0
334,11
335,6
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,3
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,2
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,4
366,1
367,0
368,0
369,0
370,4
371,0
372,0
373,4
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,2
389,0
390,0
391,3
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,4
401,4
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,4
410,0
411,0
412,3
413,2
414,4
415,0
416,4
417,2
418,3
419,2
420,2
421,4
422,2
423,4
424,2
425,2
426,3
427,3
428,3
429,0
430,4
431,3
432,3
433,3
434,4
435,0
436,4
437,3
438,3
439,4
440,0
441,4
442,4
443,4
444,3
445,4
446,2
447,5
448,4
449,4
450,3
451,0
452,0
453,0
454,0
455,0
456,0
457,4
458,3
459,1
460,6
461,3
462,2
463,1
464,4
465,0
466,2
467,0
468,6
469,0
470,0
471,2
472,1
473,0
474,5
475,0
476,0
477,4
478,2
479,0
480,2
481,0
482,0
483,0
484,0
485,4
486,2
487,2
488,1
489,5
490,3
491,3
492,1
493,2
494,0
495,4
496,0
497,0
498,2
499,0
500,0
501,6
