Episode,Cumulative Cost
2,2
3,1
4,1
5,1
6,2
7,1
8,1
9,1
10,2
11,2
12,1
13,1
14,2
15,2
16,2
17,2
18,1
19,1
20,2
21,1
22,1
23,2
24,1
25,1
26,1
27,2
28,1
29,2
30,1
31,2
32,1
33,4
34,2
35,1
36,1
37,1
38,2
39,1
40,2
41,1
42,2
43,3
44,1
45,2
46,2
47,1
48,1
49,1
50,1
51,2
52,2
53,1
54,1
55,2
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,2
65,2
66,2
67,2
68,1
69,1
70,1
71,2
72,1
73,1
74,2
75,2
76,2
77,1
78,2
79,1
80,2
81,2
82,4
83,1
84,2
85,1
86,1
87,1
88,2
89,3
90,2
91,1
92,1
93,1
94,2
95,2
96,1
97,1
98,1
99,2
100,2
101,2
102,2
103,1
104,1
105,1
106,1
107,2
108,2
109,1
110,2
111,1
112,1
113,2
114,1
115,2
116,2
117,2
118,1
119,2
120,1
121,2
122,1
123,1
124,1
125,1
126,2
127,1
128,1
129,1
130,1
131,1
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,2
141,1
142,1
143,2
144,2
145,1
146,2
147,1
148,1
149,2
150,2
151,2
152,1
153,1
154,1
155,1
156,1
157,2
158,2
159,2
160,1
161,2
162,1
163,2
164,2
165,1
166,2
167,2
168,2
169,1
170,1
171,2
172,1
173,1
174,2
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,2
186,2
187,1
188,2
189,1
190,3
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,2
199,1
200,1
201,2
202,1
203,2
204,1
205,1
206,2
207,1
208,1
209,1
210,1
211,2
212,1
213,2
214,1
215,3
216,1
217,2
218,1
219,1
220,2
221,2
222,1
223,1
224,2
225,1
226,2
227,1
228,1
229,1
230,2
231,1
232,1
233,2
234,1
235,2
236,2
237,2
238,1
239,1
240,1
241,1
242,2
243,2
244,2
245,2
246,1
247,1
248,2
249,2
250,2
251,2
252,2
253,2
254,1
255,2
256,2
257,1
258,1
259,1
260,1
261,2
262,1
263,2
264,1
265,1
266,1
267,2
268,1
269,1
270,2
271,1
272,1
273,1
274,1
275,2
276,1
277,1
278,2
279,1
280,1
281,2
282,1
283,2
284,1
285,2
286,2
287,2
288,1
289,1
290,1
291,1
292,2
293,2
294,2
295,2
296,1
297,1
298,1
299,2
300,2
301,1
302,1
303,1
304,1
305,1
306,2
307,1
308,1
309,1
310,1
311,2
312,2
313,2
314,2
315,2
316,1
317,2
318,1
319,1
320,1
321,1
322,2
323,2
324,1
325,2
326,1
327,1
328,1
329,2
330,2
331,1
332,1
333,2
334,1
335,4
336,2
337,2
338,1
339,2
340,2
341,1
342,2
343,2
344,2
345,1
346,1
347,2
348,2
349,1
350,2
351,2
352,1
353,4
354,1
355,1
356,1
357,1
358,1
359,2
360,2
361,1
362,2
363,1
364,2
365,2
366,1
367,1
368,2
369,2
370,1
371,1
372,2
373,2
374,1
375,1
376,2
377,1
378,1
379,2
380,1
381,2
382,1
383,1
384,2
385,1
386,1
387,1
388,1
389,1
390,2
391,2
392,1
393,2
394,1
395,2
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,2
405,1
406,1
407,1
408,2
409,1
410,2
411,1
412,2
413,1
414,2
415,1
416,2
417,1
418,1
419,1
420,2
421,2
422,1
423,2
424,2
425,2
426,1
427,1
428,1
429,1
430,1
431,2
432,1
433,1
434,2
435,2
436,1
437,3
438,1
439,2
440,1
441,1
442,1
443,1
444,2
445,1
446,2
447,1
448,1
449,2
450,1
451,2
452,1
453,2
454,1
455,11
456,1
457,2
458,2
459,1
460,2
461,2
462,1
463,2
464,1
465,1
466,2
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,2
476,1
477,2
478,1
479,2
480,1
481,2
482,2
483,2
484,2
485,2
486,5
487,2
488,1
489,1
490,1
491,1
492,2
493,2
494,1
495,1
496,2
497,2
498,2
499,1
500,2
501,1
502,1
503,2
504,2
505,1
506,2
507,1
508,1
509,2
510,1
511,1
512,1
513,1
514,1
515,1
516,2
517,1
518,1
519,2
520,1
521,2
522,1
523,1
524,1
525,1
526,1
527,2
528,2
529,2
530,2
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,2
539,1
540,1
541,1
542,1
543,1
544,2
545,1
546,1
547,2
548,1
549,2
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,2
558,1
559,2
560,1
561,2
562,2
563,2
564,1
565,1
566,1
567,1
568,1
569,1
570,2
571,1
572,2
573,1
574,2
575,1
576,2
577,2
578,1
579,2
580,1
581,1
582,2
583,2
584,1
585,2
586,1
587,1
588,1
589,1
590,2
591,1
592,1
593,2
594,2
595,1
596,2
597,2
598,2
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,2
607,1
608,1
609,1
610,1
611,1
612,2
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,2
627,2
628,2
629,1
630,1
631,1
632,1
633,2
634,1
635,2
636,2
637,2
638,1
639,1
640,3
641,2
642,6
643,1
644,1
645,2
646,2
647,2
648,2
649,1
650,2
651,2
652,1
653,2
654,2
655,2
656,2
657,1
658,2
659,1
660,1
661,2
662,2
663,1
664,1
665,1
666,1
667,2
668,1
669,2
670,2
671,1
672,1
673,2
674,2
675,1
676,2
677,1
678,2
679,2
680,1
681,2
682,1
683,2
684,1
685,1
686,2
687,1
688,1
689,2
690,1
691,2
692,2
693,1
694,1
695,2
696,1
697,2
698,1
699,2
700,1
701,1
702,1
703,1
704,2
705,2
706,1
707,1
708,1
709,2
710,1
711,2
712,2
713,1
714,1
715,9
716,2
717,2
718,1
719,4
720,1
721,2
722,1
723,2
724,1
725,1
726,2
727,1
728,2
729,1
730,2
731,2
732,1
733,2
734,1
735,2
736,1
737,1
738,2
739,1
740,1
741,2
742,1
743,2
744,1
745,2
746,1
747,1
748,1
749,2
750,1
751,1
752,1
753,1
754,2
755,2
756,1
757,2
758,2
759,2
760,2
761,1
762,1
763,2
764,2
765,1
766,2
767,1
768,1
769,2
770,1
771,1
772,1
773,2
774,1
775,1
776,2
777,1
778,2
779,1
780,1
781,2
782,2
783,2
784,1
785,2
786,1
787,1
788,2
789,1
790,1
791,1
792,2
793,1
794,1
795,1
796,1
797,2
798,2
799,3
800,2
801,1
802,2
803,2
804,1
805,1
806,1
807,2
808,2
809,1
810,2
811,1
812,2
813,1
814,2
815,2
816,1
817,1
818,2
819,2
820,2
821,1
822,2
823,1
824,2
825,1
826,2
827,2
828,2
829,2
830,1
831,2
832,1
833,2
834,2
835,1
836,2
837,1
838,1
839,1
840,2
841,2
842,2
843,1
844,1
845,1
846,2
847,2
848,2
849,2
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,2
861,1
862,2
863,1
864,1
865,1
866,4
867,2
868,2
869,2
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,2
883,1
884,1
885,2
886,2
887,2
888,2
889,2
890,1
891,1
892,1
893,1
894,2
895,2
896,2
897,1
898,2
899,1
900,1
901,2
902,1
903,2
904,1
905,1
906,2
907,1
908,2
909,2
910,1
911,1
912,2
913,2
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,2
922,1
923,1
924,2
925,1
926,1
927,2
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,2
938,1
939,3
940,1
941,2
942,2
943,1
944,2
945,1
946,1
947,1
948,2
949,3
950,2
951,2
952,2
