Episode,Episode Length
2,40
3,20
4,34
5,17
6,16
7,11
8,20
9,24
10,29
11,19
12,25
13,20
14,30
15,42
16,20
17,16
18,17
19,13
20,17
21,39
22,16
23,18
24,14
25,30
26,11
27,25
28,10
29,11
30,14
31,16
32,14
33,87
34,13
35,17
36,14
37,46
38,16
39,15
40,18
41,18
42,13
43,19
44,11
45,33
46,34
47,61
48,31
49,21
50,14
51,15
52,15
53,12
54,43
55,32
56,14
57,21
58,23
59,14
60,33
61,10
62,12
63,18
64,20
65,22
66,36
67,74
68,16
69,19
70,14
71,26
72,22
73,21
74,20
75,16
76,37
77,16
78,43
79,17
80,15
81,18
82,51
83,22
84,42
85,12
86,30
87,22
88,21
89,16
90,31
91,33
92,15
93,49
94,32
95,14
96,16
97,11
98,12
99,26
100,24
101,26
102,17
103,20
104,18
105,30
106,16
107,20
108,20
109,23
110,18
111,18
112,15
113,23
114,26
115,21
116,34
117,22
118,24
119,14
120,11
121,22
122,13
123,11
124,48
125,26
126,21
127,25
128,26
129,37
130,23
131,14
132,18
133,20
134,15
135,17
136,20
137,32
138,35
139,15
140,10
141,15
142,14
143,12
144,24
145,17
146,29
147,46
148,13
149,31
150,19
151,14
152,30
153,38
154,37
155,17
156,27
157,17
158,12
159,13
160,25
161,25
162,14
163,17
164,19
165,16
166,25
167,17
168,28
169,15
170,14
171,21
172,31
173,14
174,27
175,12
176,13
177,23
178,50
179,20
180,33
181,15
182,12
183,26
184,19
185,21
186,23
187,19
188,15
189,9
190,38
191,28
192,16
193,18
194,39
195,11
196,37
197,17
198,20
199,34
200,14
201,23
202,77
203,16
204,41
205,19
206,63
207,17
208,11
209,10
210,10
211,30
212,22
213,17
214,19
215,16
216,14
217,14
218,14
219,45
220,24
221,30
222,24
223,23
224,12
225,28
226,18
227,31
228,16
229,13
230,21
231,19
232,23
233,44
234,18
235,37
236,26
237,12
238,13
239,10
240,19
241,14
242,15
243,17
244,19
245,13
246,34
247,16
248,33
249,11
250,13
251,22
252,15
253,13
254,18
255,47
256,29
257,12
258,18
259,17
260,24
261,26
262,15
263,21
264,20
265,17
266,17
267,21
268,19
269,20
270,13
271,19
272,13
273,11
274,15
275,18
276,17
277,72
278,76
279,66
280,17
281,21
282,91
283,24
284,41
285,11
286,30
287,26
288,12
289,26
290,10
291,18
292,20
293,17
294,19
295,21
296,12
297,11
298,13
299,20
300,17
301,30
302,17
303,14
304,13
305,16
306,19
307,16
308,12
309,15
310,26
311,14
312,19
313,21
314,12
315,13
316,20
317,13
318,30
319,38
320,25
321,33
322,13
323,15
324,20
325,21
326,45
327,21
328,32
329,26
330,25
331,11
332,23
333,17
334,16
335,29
336,14
337,15
338,19
339,21
340,39
341,9
342,13
343,25
344,27
345,29
346,42
347,14
348,16
349,21
350,37
351,19
352,16
353,31
354,23
355,30
356,23
357,16
358,32
359,24
360,23
361,39
362,36
363,18
364,12
365,35
366,30
367,12
368,19
369,15
370,9
371,63
372,26
373,17
374,27
375,15
376,11
377,11
378,14
379,12
380,21
381,15
382,12
383,17
384,16
385,21
386,19
387,51
388,13
389,12
390,21
391,16
392,13
393,20
394,25
395,23
396,17
397,19
398,14
399,24
400,15
401,91
402,39
403,32
404,32
405,12
406,30
407,48
408,12
409,47
410,42
411,17
412,17
413,12
414,17
415,14
416,14
417,18
418,25
419,25
420,55
421,15
422,21
423,14
424,15
425,54
426,19
427,26
428,17
429,21
430,17
431,47
432,41
433,18
434,14
435,12
436,16
437,13
438,13
439,36
440,20
441,12
442,13
443,15
444,27
445,24
446,21
447,12
448,23
449,18
450,14
451,29
452,22
453,17
454,11
455,46
456,32
457,28
458,15
459,15
460,22
461,34
462,14
463,41
464,21
465,52
466,26
467,10
468,26
469,12
470,22
471,18
472,58
473,27
474,18
475,38
476,29
477,21
478,20
479,16
480,16
481,28
482,21
483,37
484,12
485,54
486,68
487,13
488,30
489,24
490,27
491,11
492,35
493,28
494,16
495,19
496,25
497,18
498,20
499,12
500,19
501,30
502,46
503,15
504,46
505,27
506,18
507,18
508,16
509,24
510,47
511,20
512,23
513,26
514,12
515,37
516,23
517,20
518,19
519,24
520,14
521,20
522,64
523,37
524,18
525,25
526,16
527,32
528,15
529,18
530,20
531,20
532,15
533,11
534,32
535,52
536,26
537,22
538,21
539,44
540,13
541,18
542,16
543,14
544,19
545,26
546,13
547,11
548,14
549,33
550,27
551,32
552,11
553,17
554,42
555,13
556,24
557,75
558,22
559,25
560,41
561,17
562,28
563,28
564,67
565,15
566,17
567,15
568,11
569,30
570,41
571,11
572,36
573,11
574,37
575,21
576,20
577,18
578,23
579,21
580,27
581,15
582,17
583,15
584,17
585,18
586,25
587,24
588,11
589,18
590,15
591,21
592,23
593,21
594,17
595,23
596,16
597,25
598,34
599,20
600,15
601,32
602,16
603,13
604,29
605,12
606,14
607,15
608,17
609,12
610,32
611,17
612,15
613,14
614,19
615,13
616,23
617,23
618,22
619,10
620,12
621,15
622,24
623,17
624,25
625,20
626,20
627,23
628,16
629,38
630,14
631,15
632,13
633,15
634,16
635,26
636,14
637,28
638,15
639,25
640,30
641,28
642,40
643,11
644,47
645,30
646,41
647,26
648,18
649,14
650,13
651,36
652,14
653,26
654,19
655,34
656,28
657,21
658,42
659,58
660,16
661,36
662,21
663,42
664,12
665,24
666,14
667,25
668,24
669,15
670,16
671,15
672,13
673,52
674,21
675,23
676,17
677,29
678,38
679,23
680,23
681,12
682,13
683,14
684,36
685,16
686,31
687,30
688,20
689,25
690,23
691,17
692,42
693,46
694,18
695,22
696,19
697,14
698,14
699,19
700,34
701,20
702,34
703,15
704,13
705,36
706,44
707,18
708,26
709,21
710,20
711,36
712,15
713,14
714,12
715,33
716,34
717,25
718,24
719,50
720,27
721,41
722,17
723,21
724,19
725,11
726,20
727,36
728,20
729,20
730,21
731,24
732,11
733,30
734,28
735,24
736,29
737,17
738,12
739,32
740,9
741,14
742,16
743,14
744,22
745,21
746,39
747,17
748,25
749,13
750,13
751,27
752,20
753,21
754,14
755,15
756,23
757,11
758,22
759,17
760,48
761,21
762,14
763,20
764,17
765,18
766,32
767,13
768,15
769,19
770,14
771,36
772,18
773,15
774,49
775,14
776,54
777,16
778,58
779,16
780,18
781,50
782,25
783,28
784,46
785,81
786,41
787,15
788,28
789,18
790,15
791,18
792,37
793,22
794,29
795,16
796,17
797,28
798,16
799,29
800,28
801,15
802,15
803,45
804,22
805,27
806,27
807,30
808,11
809,24
810,36
811,11
812,34
813,12
814,12
815,20
816,27
817,12
818,26
819,13
820,15
821,15
822,34
823,23
824,26
825,21
826,43
827,20
828,23
829,22
830,23
831,19
832,17
833,18
834,13
835,13
836,15
837,15
838,15
839,11
840,10
841,42
842,13
843,12
844,12
845,16
846,26
847,11
848,26
849,13
850,14
851,31
852,21
853,12
854,20
855,14
856,19
857,18
858,11
859,11
860,20
861,17
862,14
863,12
864,28
865,27
866,107
867,13
868,21
869,16
870,16
871,15
872,14
873,12
874,14
875,27
876,17
877,24
878,30
879,12
880,17
881,16
882,37
883,19
884,15
885,19
886,24
887,52
888,16
889,10
890,25
891,16
892,19
893,23
894,21
895,22
896,32
897,13
898,23
899,18
900,24
901,24
902,17
903,25
904,24
905,21
906,31
907,21
908,15
909,37
910,11
911,22
912,28
913,20
914,21
915,14
916,24
917,13
918,13
919,17
920,38
921,17
922,14
923,13
924,18
925,23
926,14
927,19
928,47
929,14
930,16
931,17
932,29
933,17
934,17
935,15
936,15
937,14
938,24
939,26
940,21
941,17
942,25
943,27
944,48
945,22
946,23
947,13
948,14
949,15
950,24
951,26
952,46
953,15
954,13
955,17
956,18
957,11
958,16
959,22
960,31
961,17
962,28
963,19
964,20
965,27
966,22
967,10
968,17
969,23
970,21
971,15
972,46
973,14
974,29
975,28
976,59
977,21
978,18
979,13
980,14
981,15
982,12
983,15
984,68
985,31
986,33
987,15
988,25
989,27
990,14
991,32
992,16
993,16
994,26
995,26
996,13
997,23
998,12
999,38
1000,20
1001,17
1002,15
1003,17
1004,32
1005,23
1006,50
1007,19
1008,14
1009,11
1010,27
1011,24
1012,18
1013,21
1014,19
1015,49
1016,15
1017,56
1018,14
1019,18
1020,14
1021,13
1022,11
1023,20
1024,10
1025,19
1026,20
1027,21
1028,13
1029,15
1030,33
1031,14
1032,39
1033,19
1034,27
1035,22
1036,39
1037,15
1038,11
1039,16
1040,14
1041,22
1042,44
1043,26
1044,35
1045,39
1046,19
1047,12
1048,24
1049,18
1050,24
1051,12
1052,28
1053,16
1054,29
1055,26
1056,31
1057,21
1058,20
1059,65
1060,29
1061,21
1062,13
1063,14
1064,17
1065,20
1066,33
1067,16
1068,10
1069,16
1070,12
1071,39
1072,25
1073,9
1074,24
1075,25
1076,22
1077,15
1078,27
1079,38
1080,14
1081,19
1082,21
1083,62
1084,20
1085,13
1086,12
1087,22
1088,13
1089,40
1090,11
1091,16
1092,27
1093,15
1094,19
1095,18
1096,21
1097,17
1098,15
1099,15
1100,24
1101,15
1102,24
1103,17
1104,24
1105,15
1106,10
1107,41
1108,51
1109,15
1110,14
1111,16
1112,28
1113,15
1114,20
1115,25
1116,21
1117,16
1118,12
1119,37
1120,25
1121,13
1122,22
1123,17
1124,17
1125,18
1126,27
1127,16
1128,28
1129,19
1130,49
1131,14
1132,26
1133,26
1134,17
1135,19
1136,16
1137,14
1138,48
1139,65
1140,14
1141,37
1142,26
1143,21
1144,12
1145,22
1146,21
1147,41
1148,12
1149,14
1150,23
1151,27
1152,12
1153,16
1154,24
1155,13
1156,18
1157,26
1158,26
1159,22
1160,21
1161,29
