Episode,Episode Length
2,16
3,20
4,25
5,23
6,22
7,22
8,11
9,15
10,12
11,23
12,24
13,25
14,20
15,14
16,12
17,16
18,16
19,21
20,24
21,22
22,15
23,14
24,13
25,22
26,18
27,17
28,30
29,16
30,21
31,13
32,18
33,17
34,27
35,23
36,40
37,17
38,26
39,16
40,17
41,17
42,28
43,18
44,44
45,31
46,12
47,19
48,17
49,24
50,22
51,24
52,21
53,12
54,12
55,19
56,12
57,14
58,24
59,32
60,13
61,14
62,25
63,31
64,14
65,16
66,19
67,31
68,15
69,46
70,23
71,16
72,13
73,32
74,16
75,37
76,60
77,43
78,20
79,25
80,20
81,21
82,25
83,22
84,13
85,10
86,17
87,12
88,42
89,22
90,15
91,11
92,11
93,16
94,22
95,36
96,18
97,12
98,46
99,15
100,23
101,23
102,20
103,17
104,14
105,32
106,19
107,36
108,22
109,17
110,26
111,39
112,11
113,14
114,17
115,62
116,28
117,25
118,21
119,24
120,16
121,14
122,26
123,12
124,20
125,20
126,12
127,83
128,11
129,11
130,34
131,20
132,17
133,17
134,25
135,25
136,21
137,29
138,30
139,11
140,14
141,15
142,16
143,31
144,25
145,21
146,21
147,21
148,37
149,20
150,31
151,12
152,18
153,16
154,10
155,18
156,17
157,15
158,19
159,26
160,33
161,14
162,30
163,20
164,26
165,18
166,10
167,13
168,24
169,16
170,38
171,47
172,23
173,13
174,33
175,20
176,29
177,15
178,15
179,32
180,13
181,15
182,57
183,18
184,16
185,17
186,28
187,13
188,20
189,11
190,14
191,19
192,17
193,27
194,17
195,29
196,18
197,15
198,15
199,32
200,13
201,13
202,13
203,30
204,24
205,22
206,41
207,39
208,17
209,29
210,15
211,17
212,37
213,19
214,46
215,20
216,61
217,12
218,12
219,25
220,10
221,29
222,34
223,17
224,24
225,15
226,29
227,22
228,35
229,22
230,25
231,11
232,16
233,12
234,11
235,16
236,14
237,10
238,18
239,25
240,34
241,14
242,13
243,24
244,52
245,14
246,17
247,18
248,26
249,69
250,13
251,18
252,15
253,13
254,15
255,23
256,19
257,13
258,18
259,25
260,18
261,22
262,22
263,13
264,25
265,18
266,17
267,12
268,16
269,27
270,16
271,34
272,17
273,37
274,27
275,55
276,55
277,15
278,29
279,12
280,29
281,26
282,15
283,25
284,15
285,41
286,26
287,17
288,22
289,19
290,19
291,25
292,23
293,17
294,38
295,14
296,45
297,15
298,38
299,24
300,24
301,32
302,12
303,47
304,23
305,14
306,17
307,23
308,23
309,11
310,10
311,29
312,39
313,38
314,20
315,30
316,40
317,44
318,26
319,22
320,65
321,18
322,24
323,28
324,16
325,16
326,35
327,13
328,16
329,34
330,44
331,24
332,18
333,24
334,16
335,30
336,21
337,15
338,34
339,21
340,35
341,51
342,36
343,17
344,15
345,15
346,14
347,36
348,13
349,14
350,17
351,13
352,15
353,17
354,15
355,15
356,30
357,22
358,20
359,17
360,13
361,15
362,13
